"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\AuthRoute.js", "JavaScript", 27, 0, 0, 0, 0, 4, 31
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\CategoryRoute.js", "JavaScript", 28, 0, 0, 0, 0, 5, 33
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\CurrencyRoute.js", "JavaScript", 27, 0, 0, 0, 0, 6, 33
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\DeveloperRoute.js", "JavaScript", 41, 0, 0, 0, 0, 6, 47
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\EnquiryFormRoute.js", "JavaScript", 35, 0, 0, 0, 0, 6, 41
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\FeedbackRoute.js", "JavaScript", 24, 0, 0, 0, 0, 6, 30
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\GenralDataRoute.js", "JavaScript", 7, 0, 0, 0, 0, 5, 12
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\GuestInfoRoute.js", "JavaScript", 15, 0, 0, 0, 0, 4, 19
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\JobRoute.js", "JavaScript", 30, 0, 0, 0, 0, 5, 35
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\LanguageRouter.js", "JavaScript", 31, 0, 0, 0, 0, 5, 36
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\ListWithUsRoute.js", "JavaScript", 44, 0, 0, 0, 0, 6, 50
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\MetaDataRoute.js", "JavaScript", 39, 0, 0, 0, 0, 6, 45
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\PaymentPlanRoute.js", "JavaScript", 41, 0, 0, 0, 1, 6, 48
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\PropertyRoute.js", "JavaScript", 86, 0, 0, 0, 0, 6, 92
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\ResourcesRoute.js", "JavaScript", 26, 0, 0, 0, 0, 5, 31
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\RoleResourcesRoute.js", "JavaScript", 60, 0, 0, 0, 0, 5, 65
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\RoleRoute.js", "JavaScript", 26, 0, 0, 0, 0, 4, 30
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\TeamRoute.js", "JavaScript", 30, 0, 0, 0, 0, 5, 35
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\UnitRoute.js", "JavaScript", 27, 0, 0, 0, 0, 6, 33
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\UserRoute.js", "JavaScript", 41, 0, 0, 0, 0, 3, 44
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\vercel.json", "JSON", 0, 20, 0, 0, 0, 1, 21
"Total", "-", 11040, 4351, 664, 546, 611, 829, 18041
